


################################################################################
################################################################################
			Nova Captura
2017-10-04 14:57:13.082174
2017-10-04 14:57:13.113176
2017-10-04 14:57:13.149178
2017-10-04 14:57:13.200181
2017-10-04 14:57:13.213182
2017-10-04 14:57:13.246183
2017-10-04 14:57:13.292186
2017-10-04 14:57:13.315187
2017-10-04 14:57:13.346189
2017-10-04 14:57:13.385191
2017-10-04 14:57:13.414193
2017-10-04 14:57:13.449195
2017-10-04 14:57:13.485197
2017-10-04 14:57:13.514199
2017-10-04 14:57:13.548201
2017-10-04 14:57:13.582203
2017-10-04 14:57:13.613204
2017-10-04 14:57:13.648206
2017-10-04 14:57:13.683208
2017-10-04 14:57:13.713210
2017-10-04 14:57:13.748212
2017-10-04 14:57:13.785214
2017-10-04 14:57:13.814216
2017-10-04 14:57:13.847218
2017-10-04 14:57:13.908221
2017-10-04 14:57:13.916222
2017-10-04 14:57:13.949224
2017-10-04 14:57:13.985226
2017-10-04 14:57:14.014227
2017-10-04 14:57:14.049229
2017-10-04 14:57:14.085231
2017-10-04 14:57:14.115233
2017-10-04 14:57:14.147235
2017-10-04 14:57:14.184237
2017-10-04 14:57:14.215239
2017-10-04 14:57:14.248241
2017-10-04 14:57:14.286243
2017-10-04 14:57:14.316245
2017-10-04 14:57:14.349247
2017-10-04 14:57:14.386249
2017-10-04 14:57:14.414250
2017-10-04 14:57:14.448252
2017-10-04 14:57:14.495255
2017-10-04 14:57:14.516256
2017-10-04 14:57:14.548258
2017-10-04 14:57:14.583260
2017-10-04 14:57:14.614262
2017-10-04 14:57:14.648264
2017-10-04 14:57:14.683266
2017-10-04 14:57:14.714267
2017-10-04 14:57:14.748269
2017-10-04 14:57:14.782271
2017-10-04 14:57:14.814273
2017-10-04 14:57:14.848275
2017-10-04 14:57:14.884277
2017-10-04 14:57:14.915279
2017-10-04 14:57:14.948281
2017-10-04 14:57:14.983283
2017-10-04 14:57:15.015285
2017-10-04 14:57:15.048287
2017-10-04 14:57:15.083289
2017-10-04 14:57:15.115290
2017-10-04 14:57:15.150292
2017-10-04 14:57:15.184294
2017-10-04 14:57:15.216296
2017-10-04 14:57:15.248298
2017-10-04 14:57:15.283300
2017-10-04 14:57:15.316302
2017-10-04 14:57:15.348304
2017-10-04 14:57:15.383306
2017-10-04 14:57:15.416308
2017-10-04 14:57:15.452310
2017-10-04 14:57:15.484312
2017-10-04 14:57:15.515313
2017-10-04 14:57:15.549315
2017-10-04 14:57:15.592318
2017-10-04 14:57:15.617319
2017-10-04 14:57:15.649321
2017-10-04 14:57:15.711324
2017-10-04 14:57:15.718325
2017-10-04 14:57:15.750327
2017-10-04 14:57:15.783329
2017-10-04 14:57:15.817331
2017-10-04 14:57:15.849332
2017-10-04 14:57:15.884334
2017-10-04 14:57:15.916336
2017-10-04 14:57:15.949338
2017-10-04 14:57:15.984340
2017-10-04 14:57:16.018342
2017-10-04 14:57:16.049344
2017-10-04 14:57:16.092346
2017-10-04 14:57:16.118348
2017-10-04 14:57:16.149350
2017-10-04 14:57:16.200352
2017-10-04 14:57:16.216353
2017-10-04 14:57:16.249355
2017-10-04 14:57:16.288357
2017-10-04 14:57:16.318359
2017-10-04 14:57:16.349361
2017-10-04 14:57:16.384363
2017-10-04 14:57:16.416365
2017-10-04 14:57:16.454367
2017-10-04 14:57:16.487369
2017-10-04 14:57:16.516371
2017-10-04 14:57:16.550372
2017-10-04 14:57:16.593375
2017-10-04 14:57:16.619376
2017-10-04 14:57:16.650378
2017-10-04 14:57:16.693381
2017-10-04 14:57:16.718382
2017-10-04 14:57:16.752384
2017-10-04 14:57:16.788386
2017-10-04 14:57:16.820388
2017-10-04 14:57:16.852390
2017-10-04 14:57:16.887392
2017-10-04 14:57:16.917393
2017-10-04 14:57:16.957396
2017-10-04 14:57:16.986397
2017-10-04 14:57:17.017399
2017-10-04 14:57:17.051401
2017-10-04 14:57:17.093404
2017-10-04 14:57:17.117405
2017-10-04 14:57:17.153407
2017-10-04 14:57:17.193409
2017-10-04 14:57:17.217411
2017-10-04 14:57:17.250413
2017-10-04 14:57:17.285415
2017-10-04 14:57:17.319416
2017-10-04 14:57:17.350418
2017-10-04 14:57:17.385420
2017-10-04 14:57:17.417422
2017-10-04 14:57:17.451424
2017-10-04 14:57:17.487426
2017-10-04 14:57:17.518428
2017-10-04 14:57:17.551430
2017-10-04 14:57:17.585432
2017-10-04 14:57:17.617434
2017-10-04 14:57:17.651435
2017-10-04 14:57:17.695438
2017-10-04 14:57:17.718439
2017-10-04 14:57:17.751441
2017-10-04 14:57:17.791443
2017-10-04 14:57:17.817445
2017-10-04 14:57:17.851447
2017-10-04 14:57:17.890449
2017-10-04 14:57:17.917451
2017-10-04 14:57:17.951453
2017-10-04 14:57:17.987455
2017-10-04 14:57:18.017456
2017-10-04 14:57:18.051458
2017-10-04 14:57:18.084460
2017-10-04 14:57:18.118462
2017-10-04 14:57:18.151464
2017-10-04 14:57:18.185466
2017-10-04 14:57:18.218468
2017-10-04 14:57:18.251470
2017-10-04 14:57:18.292472
2017-10-04 14:57:18.318474
2017-10-04 14:57:18.351475
2017-10-04 14:57:18.391478
2017-10-04 14:57:18.418479
2017-10-04 14:57:18.451481
2017-10-04 14:57:18.491484
2017-10-04 14:57:18.518485
2017-10-04 14:57:18.555487
